,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
84,nm0000581,1,1.375661380952381,Joseph L. Mankiewicz,writer,0.14,-0.44404429841250825,-0.1242471235753779,0.30544885284189877,1
85,nm0000583,2,0.8525861481481481,Wolfgang Petersen,writer,-0.07,0.08732725947190056,-0.19227646719017757,-0.023699548674017978,1
86,nm0000590,1,0.03884644444444445,Edgar Allan Poe,writer,-1.4,-0.44404429841250825,-0.29810861989885495,-2.1083060916081573,1
87,nm0000591,3,0.16276508685185184,Roman Polanski,writer,-0.8,0.6186988173563094,-0.28199219270841275,-1.1678820872769669,3
88,nm0000600,5,1.5327879419444987,Sam Raimi,writer,0.18,1.6814419331251271,-0.10381179011208405,0.36814378646397816,3
89,nm0000601,8,9.107897809103882,Harold Ramis,writer,0.96,3.2755566067783533,0.8813806253462741,1.5906949920945261,0
90,nm0000604,1,1.5456737384615384,John C. Reilly,writer,0.19,-0.44404429841250825,-0.1021359082808826,0.383817519869498,1
91,nm0000607,1,5.863906285714286,Paul Reubens,writer,0.77,-0.44404429841250825,0.45947838225008286,1.292894057389649,6
92,nm0000621,1,0.5095473,Kurt Russell,writer,-0.29,-0.44404429841250825,-0.23689090543988436,-0.36852168359545456,1
93,nm0000626,5,4.383020228301159,John Sayles,writer,0.64,1.6814419331251271,0.2668794975465738,1.089135523117891,3
94,nm0000632,1,0.8442085133333334,Jerry Seinfeld,writer,-0.08,-0.44404429841250825,-0.1933660332062188,-0.039373282079537816,1
95,nm0000636,7,1.1279970047362682,William Shakespeare,writer,0.05,2.7441850488939448,-0.15645749006592188,0.1643852521922202,0
96,nm0000638,1,1.7403349666666668,William Shatner,writer,0.24,-0.44404429841250825,-0.07681894668235507,0.46218618689709723,1
97,nm0000653,1,0.7209068166666667,Brent Spiner,writer,-0.14,-0.44404429841250825,-0.20940222258160798,-0.1334156825126569,1
98,nm0000659,1,3.351574916666667,Barbra Streisand,writer,0.53,-0.44404429841250825,0.13273331144466294,0.9167244556571728,1
99,nm0000668,5,1.4392824297835498,Emma Thompson,writer,0.16,1.6814419331251271,-0.115972791470479,0.3367963196529385,3
100,nm0000671,1,5.057114868597177,Billy Bob Thornton,writer,0.7,-0.44404429841250825,0.35454989950337146,1.18317792355101,1
101,nm0000681,3,1.6243525913645742,Vince Vaughn,writer,0.21,0.6186988173563094,-0.09190321060436668,0.4151649866805377,3
102,nm0000682,1,0.19993327272727274,Paul Verhoeven,writer,-0.7,-0.44404429841250825,-0.277158227859987,-1.0111447532217681,1
103,nm0000691,3,0.772002177094017,John Waters,writer,-0.11,0.6186988173563094,-0.2027569379004746,-0.08639448229609735,3
104,nm0000694,1,1.4306384363636364,Wim Wenders,writer,0.16,-0.44404429841250825,-0.1170969991593325,0.3367963196529385,1
105,nm0000697,2,3.5626903448275864,Billy Wilder,writer,0.55,0.08732725947190056,0.16019024900171205,0.9480719224682125,1
106,nm0000698,1,30.811904642857144,Gene Wilder,writer,1.49,-0.44404429841250825,3.704128188437188,2.421402862587078,4
