,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget,avg_budget_T,cluster
568,568,568,nm0155093,6,5.457554936111111,Peter Chelsom,director,0.74,1.5898097181952302,0.1729970704832061,1.1626171058022834,5,62667455.39830503,0.42929682635208416,3
569,569,569,nm0155280,1,0.0223208333333333,Kaige Chen,director,-1.7,-0.5204078941289055,-0.22427758225611813,-2.4156363366347926,1,46803013.473568976,0.09984166224866863,1
570,570,570,nm0156017,1,3.5138984615384614,Christopher Scott Cherot,director,0.55,-0.5204078941289055,0.03093042967637148,0.8839826164321833,1,1219398.3688534913,-0.8467883841152744,1
571,571,571,nm0157222,1,0.0037164705882352,Austin Chick,director,0.0,-0.5204078941289055,-0.225637420969453,0.077409094571367,1,4966184.001799364,-0.7689792886917656,1
572,572,572,nm0158966,1,5.20284125,Lisa Cholodenko,director,0.72,-0.5204078941289055,0.15437941956251633,1.1332871595527991,1,5604893.888538145,-0.7557152689709142,1
573,573,573,nm0158984,3,1.3372350716440422,Sylvain Chomet,director,0.13,0.3236791508007487,-0.1281672606896732,0.2680537451930145,0,15646731.36419976,-0.5471775070288742,1
574,574,574,nm0159507,1,0.85542955,Stephen Chow,director,-0.07,-0.5204078941289055,-0.16338361341332178,-0.025245717301827827,1,32262877.28778022,-0.2021117865963177,1
575,575,575,nm0160126,2,1.4690328333333331,Rich Christiano,director,0.17,-0.09836437166407844,-0.118533837544169,0.32671363769198297,1,1430762.1761830382,-0.8423990145957136,1
576,576,576,nm0160157,1,2.33125,Christian E. Christiansen,director,0.37,-0.5204078941289055,-0.05551226036898825,0.6200131001868252,1,21766578.20791513,-0.4200873039351047,1
577,577,577,nm0160602,1,1.2890125384615383,Mark Christopher,director,0.11,-0.5204078941289055,-0.13169196445809028,0.23872379894353024,1,24387967.377069823,-0.36564919618445063,1
578,578,578,nm0160840,8,2.3441462050796424,Jon M. Chu,director,0.37,2.4338967631248845,-0.05456964496405992,0.6200131001868252,5,60995563.572174735,0.3945768280972398,3
579,579,579,nm0161152,2,1.2754427868055556,Oxide Chun Pang,director,0.11,-0.09836437166407844,-0.13268381104187113,0.23872379894353024,1,44561276.919675,0.053287759644114654,1
580,580,580,nm0161834,2,5.166813475,Derek Cianfrance,director,0.71,-0.09836437166407844,0.15174606071698277,1.118622186428057,1,13417107.151267655,-0.5934798739476347,1
581,581,581,nm0162992,1,0.1452661764705882,Richard Ciupka,director,-0.82,-0.5204078941289055,-0.2152912041945351,-1.1251187016574864,1,5484689.138922637,-0.7582115481150824,1
582,582,582,nm0163375,1,0.0075076,Michael Clancy,director,-2.0,-0.5204078941289055,-0.2253603179795783,-2.855585530377056,1,16131438.64389011,-0.5371116429329229,1
