,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget,avg_budget_T,cluster
18114,18114,18114,nm2946516,5,1.436586122403101,Claire Foy,actress,0.16,0.7722423698975633,-0.14264392444613333,0.26205677358871604,7,9,0,39043638.63547002,-0.13581567247904336,0
18115,18115,18115,nm2946699,1,0.949526,Christopher Schmidt,actor,-0.02,-0.35391666264735844,-0.18624957819571603,-0.009001459579930631,0,1,1,4203670.416403609,-0.8613329328842734,1
18116,18116,18116,nm2946712,1,0.038589,Kristyan Ferrer,actor,-1.4,-0.35391666264735844,-0.2678041986267619,-2.0871145805395552,0,2,1,5271608.8098181,-0.8390938845418692,1
18117,18117,18117,nm2947895,1,0.1234923333333333,Michael Kranz,actor,-0.92,-0.35391666264735844,-0.260202949447806,-1.3642926254231642,0,7,1,25600352.83589798,-0.4157624227981914,1
18118,18118,18118,nm2948025,1,1.2833708333333331,Aimee Carrero,actress,0.11,-0.35391666264735844,-0.1563610253480814,0.18676281993075863,0,1,0,31020000.0,-0.30290217165966044,1
18119,18119,18119,nm2948426,1,0.5502659,Erica Frene,actress,-0.26,-0.35391666264735844,-0.22199464718375958,-0.3704124371381262,0,5,0,93636951.48439397,1.001050771415156,4
18120,18120,18120,nm2948607,1,1.3762746875,Laura Ann Kesling,actress,0.14,-0.35391666264735844,-0.14804350332060448,0.2319391921255331,0,1,0,116851388.27763209,1.4844747079175817,4
18121,18121,18121,nm2949014,1,2.67302006,Santino Fontana,actor,0.43,-0.35391666264735844,-0.031948123892660885,0.6686441233416861,0,4,1,197685330.36817876,3.1677833678030343,4
18122,18122,18122,nm2949405,1,0.3818664,Lawrence Kao,actor,-0.42,-0.35391666264735844,-0.2370711643339883,-0.6113530888435899,0,5,1,12716495.415200386,-0.6840594798029865,1
18123,18123,18123,nm2950654,1,0.7035725611111111,Mens-Sana Tamakloe,actor,-0.15,-0.35391666264735844,-0.20826936590034736,-0.2047657390906199,0,5,1,228896917.47360694,3.8177422032200274,4
18124,18124,18124,nm2951481,1,2.42406735,Dustin Fitzsimons,actor,0.38,-0.35391666264735844,-0.05423643117332927,0.5933501696837287,0,4,1,56048938.88538146,0.21830746483576813,1
18125,18125,18125,nm2951768,5,2.672736419726575,Freida Pinto,actress,0.43,0.7722423698975633,-0.03197351771774224,0.6686441233416861,7,9,0,55049237.37167467,0.19748940039647325,0
18126,18126,18126,nm2952108,1,1.0783409047619048,Jake Zyrus,actor,0.03,-0.35391666264735844,-0.174717001668779,0.06629249407802679,0,1,1,56182170.890636384,0.22108192544500455,1
18127,18127,18127,nm2953465,1,0.0515936,Ji Lin,actor,-1.3,-0.35391666264735844,-0.26663991919046987,-1.9365266732236404,0,2,1,29212847.069408022,-0.34053483065327156,1
18128,18128,18128,nm2953537,2,0.9710542818181818,Katy Perry,actress,-0.01,-0.072376904511128,-0.18432218820912596,0.006057331151660851,0,1,0,147307233.72470713,2.118695767281082,4
18129,18129,18129,nm2953573,4,2.581792589063714,Robert Capron,actor,0.41,0.4907026117613329,-0.0401155622172575,0.6385265418785031,7,9,1,31775916.857723616,-0.2871607472053857,1
18130,18130,18130,nm2953616,1,0.2676538888888889,Chi Cao,actor,-0.57,-0.35391666264735844,-0.24729641371143513,-0.8372349498174622,0,5,1,25600352.83589798,-0.4157624227981914,1
18131,18131,18131,nm2953774,1,2.688834,Laurence Anthony,actor,0.43,-0.35391666264735844,-0.03053232908553444,0.6686441233416861,0,4,1,23820799.02628712,-0.4528203499631766,1
18132,18132,18132,nm2953809,1,3.4735324666666667,Anna Grace Barlow,actress,0.54,-0.35391666264735844,0.03972037291452011,0.8342908213891924,0,4,0,15000000.0,-0.6365071404877071,1
18133,18133,18133,nm2953979,1,0.474602,Ricky Catter,actor,-0.33,-0.35391666264735844,-0.22876870581221864,-0.4758239722592666,0,5,1,700611.7360672682,-0.9342816084058978,1
18134,18134,18134,nm2954549,1,2.722837947368421,Marvin Winans,actor,0.43,-0.35391666264735844,-0.027488014252797534,0.6686441233416861,0,4,1,27022594.660114534,-0.3861452605364119,1
18135,18135,18135,nm2954597,2,1.365641128846154,Aryana Engineer,actress,0.14,-0.072376904511128,-0.14899550750952825,0.2319391921255331,0,1,0,57696717.145634174,0.25262126103721255,1
18136,18136,18136,nm2954686,1,0.5485371933333333,Paul Baker,actor,-0.26,-0.35391666264735844,-0.22214941531375826,-0.3704124371381262,0,5,1,219315449.37358078,3.618215026763339,4
18137,18137,18137,nm2954703,2,4.661001833333333,Zoë Soul,actress,0.67,-0.072376904511128,0.14603245977891838,1.0300551008998817,0,4,0,36195242.63169749,-0.19513146898643827,1
18138,18138,18138,nm2954765,1,0.2676538888888889,Madeleine Eastoe,actress,-0.57,-0.35391666264735844,-0.24729641371143513,-0.8372349498174622,0,5,0,25600352.83589798,-0.4157624227981914,1
